SEC_CODE,ENTRUST_DATE
600487,20180703
601900,20180703
603608,20180703
002601,20180521
300287,20180521
002601,20180518
300287,20180518
002003,20180511
300287,20180511
600337,20180511
000848,20180509
002003,20180509
000650,20180508
000848,20180508
600398,20180508
600518,20180508
600897,20180508
002003,20180507
002293,20180507
300258,20180507
600398,20180507
000848,20180504
002293,20180504
002372,20180504
002543,20180504
002589,20180504
300258,20180504
600056,20180504
600398,20180504
601009,20180504
603568,20180504
000581,20180503
002142,20180503
002626,20180503
002717,20180503
300026,20180503
300113,20180503
300121,20180503
300382,20180503
600056,20180503
600332,20180503
002146,20180502
002236,20180502
002310,20180502
002385,20180502
002448,20180502
300070,20180502
600400,20180502
600518,20180502
601000,20180502
601009,20180502
300184,20180424
600004,20180424
002536,20180423
600004,20180423
002236,20180420
300026,20180420
600337,20180420
600400,20180420
601222,20180420
300054,20180411
600377,20180404
000963,20180403
002507,20180403
002677,20180403
600377,20180403
601000,20180403
002449,20180330
600377,20180330
000828,20180329
000828,20180328
601997,20180328
002003,20180302
002310,20180301
002508,20180301
002589,20180301
300145,20180301
000786,20180228
002003,20180228
002275,20180228
002311,20180228
002448,20180228
300054,20180228
300144,20180228
300274,20180228
300296,20180228
300418,20180228
601222,20180228
000786,20180123
000828,20180123
300418,20180123
000828,20180117
300144,20180117
300418,20180117
601222,20180117
002372,20180109
300146,20180109
600660,20180109
601006,20180109
300182,20180103
600377,20180103
002142,20171201
002001,20171130
002003,20171103
002293,20171103
300145,20171103
300237,20171103
601179,20171103
601222,20171103
002078,20171102
002293,20171102
300258,20171102
600183,20171102
601222,20171102
601566,20171102
000828,20171101
002003,20171101
002236,20171101
002311,20171101
002372,20171101
002589,20171101
002601,20171101
300298,20171101
600004,20171101
600285,20171101
600438,20171101
600522,20171101
600703,20171101
600741,20171101
600004,20171031
600285,20171031
000581,20171030
002001,20171030
002247,20171030
002385,20171030
002737,20171030
300146,20171030
300274,20171030
600036,20171030
600377,20171030
601006,20171030
601088,20171030
601222,20171030
002185,20171024
600438,20171024
601179,20171023
300146,20171013
600261,20170907
